question_id,subject_id
716,"[0, 1, 5, 98, 147, 167]"
343,"[0, 1, 8, 173]"
1681,"[0, 1, 12, 176]"
834,"[0, 1, 12, 177]"
840,"[0, 17, 29, 116]"
341,"[0, 17, 32, 104]"
1536,"[0, 39, 41, 42]"
676,"[0, 39, 47, 212]"
810,"[0, 39, 65, 152]"
1540,"[0, 68, 71, 76, 242]"
567,"[0, 68, 82, 242]"
24,"[0, 68, 83, 238, 239, 242]"
363,"[0, 17, 29, 116]"
1210,"[0, 17, 32, 104]"
526,"[0, 68, 76, 242]"
245,"[0, 68, 77, 245]"
859,"[0, 68, 245, 247]"
1696,"[0, 68, 245, 247]"
532,"[0, 68, 245, 247]"
1634,"[0, 68, 83, 238, 239, 242]"
1684,"[0, 68, 69, 83, 238, 242]"
632,"[0, 1, 6, 163]"
515,"[0, 1, 6, 163]"
1369,"[0, 1, 8, 169]"
692,"[0, 1, 8, 168]"
1552,"[0, 1, 9, 190]"
974,"[0, 1, 9, 17, 30, 190, 195]"
260,"[0, 39, 57, 215]"
1348,"[0, 17, 24, 39, 64, 107, 225, 326]"
610,"[0, 17, 31, 104]"
1314,"[0, 17, 23, 209]"
684,"[0, 17, 23, 209]"
881,"[0, 17, 24, 36, 107, 110]"
1162,"[0, 17, 24, 36, 107, 110]"
833,"[0, 17, 32, 104]"
1616,"[0, 39, 42, 44]"
744,"[0, 39, 42, 44]"
1370,"[0, 39, 42, 127]"
1066,"[0, 39, 43, 123]"
380,"[0, 39, 42, 126]"
998,"[0, 39, 42, 127]"
197,"[0, 17, 22, 202]"
68,"[0, 39, 50, 137]"
222,"[0, 39, 66, 227]"
819,"[0, 39, 61, 221]"
1131,"[0, 1, 5, 165]"
1574,"[0, 1, 5, 165]"
570,"[0, 39, 59, 221]"
1152,"[0, 1, 12, 177]"
1283,"[0, 1, 12, 178]"
1366,"[0, 1, 96, 157]"
97,"[0, 1, 96, 157]"
249,"[0, 17, 27, 114]"
748,"[0, 68, 74, 242]"
1724,"[0, 68, 74, 242]"
932,"[0, 17, 28, 105]"
758,"[0, 17, 28, 105]"
382,"[0, 1, 12, 177]"
1623,"[0, 17, 105, 106]"
1168,"[0, 17, 36, 110]"
1016,"[0, 1, 14, 183]"
1482,"[0, 1, 16, 191, 192]"
709,"[0, 39, 42, 46]"
1255,"[0, 17, 32, 104]"
255,"[0, 68, 238, 240]"
1049,"[0, 1, 11, 155]"
854,"[0, 1, 3, 96]"
595,"[0, 1, 3, 96]"
183,"[0, 1, 3, 96]"
576,"[0, 68, 72, 242]"
1451,"[0, 68, 72, 242]"
1589,"[0, 1, 98, 150]"
67,"[0, 1, 98, 150]"
912,"[0, 1, 6, 164]"
1217,"[0, 68, 245, 246]"
1326,"[0, 1, 98, 145, 147]"
19,"[0, 39, 56, 214]"
96,"[0, 1, 16, 191]"
1386,"[0, 17, 22, 203]"
169,"[0, 17, 24, 107]"
1015,"[0, 39, 54, 121]"
902,"[0, 1, 98, 150]"
966,"[0, 1, 98, 150]"
1486,"[0, 39, 64, 222]"
1068,"[0, 17, 27, 115]"
1514,"[0, 17, 23, 210]"
1071,"[0, 17, 23, 210]"
288,"[0, 39, 58, 220]"
977,"[0, 39, 58, 219]"
605,"[0, 39, 58, 219]"
444,"[0, 39, 58, 218]"
1627,"[0, 68, 70, 238]"
1356,"[0, 39, 45, 131]"
506,"[0, 17, 36, 111]"
176,"[0, 17, 29, 116]"
917,"[0, 17, 29, 117]"
1121,"[0, 39, 64, 222]"
1690,"[0, 1, 96, 156]"
398,"[0, 86, 89, 276]"
524,"[0, 86, 99, 281]"
1464,"[0, 1, 9, 190]"
1640,"[0, 17, 30, 196]"
1282,"[0, 17, 33, 104]"
1736,"[0, 68, 82, 242]"
753,"[0, 1, 10, 232]"
956,"[0, 1, 10, 232]"
886,"[0, 1, 10, 232]"
1143,"[0, 1, 98, 146]"
464,"[0, 1, 98, 146, 147]"
461,"[0, 39, 65, 152]"
431,"[0, 17, 103, 199]"
774,"[0, 17, 22, 205]"
292,"[0, 1, 8, 174]"
1556,"[0, 1, 96, 158]"
734,"[0, 17, 22, 49, 204, 269]"
816,"[0, 39, 43, 123]"
212,"[0, 39, 42, 128]"
1459,"[0, 39, 215, 216]"
936,"[0, 39, 57, 215, 216]"
1055,"[0, 39, 215, 216]"
542,"[0, 68, 70, 72, 238, 242]"
1259,"[0, 68, 72, 242]"
622,"[0, 1, 98, 146, 147]"
201,"[0, 1, 11, 154]"
1449,"[0, 39, 53, 123]"
1198,"[0, 68, 71, 242]"
1607,"[0, 17, 29, 116]"
41,"[0, 17, 29, 117]"
1702,"[0, 1, 8, 168, 171]"
685,"[0, 1, 5, 166]"
588,"[0, 68, 69, 238]"
826,"[0, 17, 30, 194]"
1492,"[0, 17, 29, 116]"
35,"[0, 39, 59, 221]"
1264,"[0, 39, 65, 139]"
386,"[0, 39, 65, 139]"
624,"[0, 1, 232, 233]"
88,"[0, 68, 69, 238]"
1421,"[0, 17, 49, 266]"
1208,"[0, 17, 49, 266]"
1180,"[0, 17, 31, 104]"
456,"[0, 39, 42, 46]"
69,"[0, 39, 66, 227]"
267,"[0, 39, 66, 227]"
1230,"[0, 17, 30, 38, 194]"
594,"[0, 1, 9, 190]"
1398,"[0, 39, 56, 214]"
1406,"[0, 39, 67, 134]"
157,"[0, 1, 13, 187]"
349,"[0, 1, 13, 186]"
1676,"[0, 1, 98, 149]"
621,"[0, 17, 36, 111]"
465,"[0, 17, 35, 105]"
1437,"[0, 1, 98, 146]"
812,"[0, 1, 98, 146]"
1641,"[0, 1, 8, 168, 169]"
1388,"[0, 1, 8, 173]"
603,"[0, 39, 51, 55, 119]"
392,"[0, 1, 11, 153]"
929,"[0, 1, 5, 167]"
1548,"[0, 1, 96, 157]"
61,"[0, 1, 12, 177]"
943,"[0, 1, 14, 184]"
522,"[0, 68, 242, 244]"
339,"[0, 39, 65, 67, 134, 141]"
1694,"[0, 39, 67, 134]"
229,"[0, 68, 75, 242]"
393,"[0, 68, 73, 242]"
1239,"[0, 39, 64, 222]"
1716,"[0, 68, 79, 245]"
1562,"[0, 68, 79, 245]"
749,"[0, 17, 102, 235]"
1090,"[0, 1, 6, 164]"
1550,"[0, 1, 6, 164]"
795,"[0, 68, 72, 242]"
479,"[0, 68, 71, 242]"
1606,"[0, 68, 71, 242]"
365,"[0, 68, 71, 242]"
517,"[0, 39, 59, 221]"
873,"[0, 1, 14, 185]"
1436,"[0, 1, 14, 185]"
927,"[0, 1, 232, 233]"
1750,"[0, 1, 8, 169]"
1099,"[0, 68, 83, 242]"
707,"[0, 17, 27, 112]"
1543,"[0, 17, 32, 104]"
202,"[0, 1, 98, 146]"
1480,"[0, 17, 198, 308]"
1693,"[0, 1, 5, 166]"
195,"[0, 1, 12, 176]"
756,"[0, 39, 43, 123]"
258,"[0, 39, 42, 283]"
1435,"[0, 39, 42, 283]"
986,"[0, 68, 70, 238]"
921,"[0, 17, 33, 104]"
934,"[0, 39, 64, 223]"
1430,"[0, 17, 28, 105]"
1711,"[0, 39, 47, 212]"
863,"[0, 17, 35, 105]"
1035,"[0, 1, 9, 189]"
591,"[0, 17, 30, 102, 194, 195, 196, 235]"
599,"[0, 17, 102, 235]"
137,"[0, 39, 42, 283]"
658,"[0, 17, 33, 104]"
706,"[0, 1, 13, 186]"
644,"[0, 17, 35, 105]"
1294,"[0, 39, 67, 133]"
375,"[0, 39, 65, 141]"
722,"[0, 39, 65, 139]"
954,"[0, 17, 32, 104]"
1358,"[0, 1, 96, 156]"
1355,"[0, 1, 98, 145, 146]"
91,"[0, 39, 42, 283]"
623,"[0, 1, 14, 234]"
655,"[0, 1, 39, 65, 96, 139, 159]"
1475,"[0, 1, 39, 65, 96, 139, 159]"
1772,"[0, 17, 30, 38]"
1091,"[0, 17, 30, 38]"
590,"[0, 17, 30, 38]"
1206,"[0, 86, 99, 281]"
1263,"[0, 17, 23, 33, 104, 211]"
370,"[0, 17, 37, 104]"
1184,"[0, 17, 29, 118]"
1413,"[0, 1, 11, 154, 155]"
769,"[0, 1, 8, 168]"
1594,"[0, 1, 11, 155]"
1651,"[0, 17, 22, 203, 205, 300]"
1107,"[0, 17, 31, 104]"
1172,"[0, 68, 242, 374]"
1742,"[0, 68, 242, 374]"
276,"[0, 1, 6, 163]"
1440,"[0, 39, 48, 215]"
1579,"[0, 17, 36, 110]"
738,"[0, 17, 24, 39, 64, 107, 222]"
976,"[0, 1, 3, 39, 43, 96, 123]"
1241,"[0, 17, 198, 308]"
148,"[0, 17, 198, 308]"
1185,"[0, 1, 98, 144, 146, 148]"
1457,"[0, 1, 12, 179]"
92,"[0, 17, 18, 27, 102, 113]"
1429,"[0, 1, 9, 11, 155, 188, 190]"
1036,"[0, 39, 62, 66, 221, 226]"
1221,"[0, 1, 7, 14, 180, 181, 184]"
1608,"[0, 1, 9, 188]"
919,"[0, 1, 7, 180]"
786,"[0, 1, 5, 11, 98, 145, 153, 165]"
900,"[0, 1, 6, 162]"
527,"[0, 1, 6, 163]"
781,"[0, 1, 6, 163]"
1732,"[0, 1, 6, 162]"
973,"[0, 1, 6, 164]"
1367,"[0, 1, 98, 147]"
101,"[0, 39, 64, 222]"
1339,"[0, 1, 6, 163]"
416,"[0, 17, 29, 116]"
1257,"[0, 1, 7, 180]"
483,"[0, 39, 67, 133]"
659,"[0, 17, 19, 102]"
788,"[0, 39, 123, 124]"
1669,"[0, 39, 42, 127]"
1703,"[0, 39, 42, 44]"
228,"[0, 39, 43, 123]"
1020,"[0, 17, 30, 38]"
711,"[0, 86, 99, 279]"
463,"[0, 1, 8, 168]"
596,"[0, 1, 7, 180]"
49,"[0, 1, 8, 173]"
1447,"[0, 1, 7, 312]"
763,"[0, 39, 53, 123]"
521,"[0, 17, 30, 38]"
1587,"[0, 1, 96, 158]"
1109,"[0, 1, 3, 96]"
165,"[0, 68, 76, 242]"
1566,"[0, 68, 73, 238, 240, 242]"
968,"[0, 68, 76, 242]"
1001,"[0, 68, 73, 242]"
631,"[0, 1, 12, 179]"
535,"[0, 1, 98, 151]"
760,"[0, 17, 29, 118]"
410,"[0, 1, 6, 164]"
1706,"[0, 17, 22, 206]"
300,"[0, 17, 49, 268]"
922,"[0, 17, 22, 206]"
40,"[0, 1, 12, 176]"
914,"[0, 39, 45, 130, 131]"
984,"[0, 39, 42, 51, 119, 128]"
62,"[0, 39, 42, 126, 128]"
799,"[0, 1, 8, 173]"
645,"[0, 1, 9, 188]"
79,"[0, 1, 9, 17, 30, 190, 195, 196]"
636,"[0, 68, 242, 244]"
1191,"[0, 17, 21, 103]"
1709,"[0, 1, 7, 180]"
635,"[0, 1, 9, 15]"
1309,"[0, 1, 9, 15]"
800,"[0, 86, 91, 286]"
1420,"[0, 1, 7, 180]"
122,"[0, 17, 35, 105]"
161,"[0, 1, 9, 190]"
867,"[0, 1, 3, 96]"
780,"[0, 17, 30, 195]"
572,"[0, 17, 30, 196]"
1632,"[0, 17, 198, 308]"
210,"[0, 17, 18, 102]"
1333,"[0, 39, 53, 123]"
317,"[0, 1, 16, 191]"
1189,"[0, 1, 16, 193]"
589,"[0, 1, 6, 162]"
1521,"[0, 1, 98, 146, 149]"
306,"[0, 1, 98, 369]"
509,"[0, 1, 98, 350, 377]"
861,"[0, 39, 59, 221]"
523,"[0, 68, 245, 246]"
710,"[0, 1, 5, 165]"
1192,"[0, 1, 11, 154]"
373,"[0, 1, 6, 162]"
1648,"[0, 1, 9, 188]"
1427,"[0, 1, 98, 150]"
704,"[0, 1, 12, 177]"
1289,"[0, 1, 12, 176]"
574,"[0, 1, 12, 178]"
217,"[0, 68, 245, 247]"
