user_id,gender,data_of_birth,premium_pupil
66,1,2002-12-01 00:00:00.000,
447,2,,
422,1,2006-08-01 00:00:00.000,
302,2,2009-07-01 00:00:00.000,0.0
361,1,,
178,1,2004-04-01 00:00:00.000,
234,2,2004-05-01 00:00:00.000,0.0
210,2,2004-04-01 00:00:00.000,0.0
62,0,,
465,1,2007-06-01 00:00:00.000,0.0
99,2,2004-04-01 00:00:00.000,1.0
263,1,,
520,2,2008-07-01 00:00:00.000,
12,2,2002-03-01 00:00:00.000,
476,1,2006-03-01 00:00:00.000,0.0
231,1,,
121,2,2005-09-01 00:00:00.000,0.0
317,1,2008-01-01 00:00:00.000,
97,1,2006-04-01 00:00:00.000,
145,2,2003-10-01 00:00:00.000,0.0
508,1,2005-12-01 00:00:00.000,
526,1,2016-09-01 00:00:00.000,
451,2,2007-08-01 00:00:00.000,0.0
306,2,2004-10-01 00:00:00.000,0.0
388,0,,
419,1,,
435,2,,
277,2,2008-07-01 00:00:00.000,
7,1,,
102,0,,
364,2,2007-08-01 00:00:00.000,1.0
135,1,2006-11-01 00:00:00.000,0.0
138,1,2006-03-01 00:00:00.000,0.0
228,2,2003-08-01 00:00:00.000,
318,2,2004-05-01 00:00:00.000,1.0
246,1,2003-07-01 00:00:00.000,0.0
376,1,,
59,0,2004-08-01 00:00:00.000,
390,2,,
65,1,2004-05-01 00:00:00.000,0.0
53,1,2004-01-01 00:00:00.000,0.0
485,0,,
136,1,2004-08-01 00:00:00.000,0.0
96,0,,
403,2,,
156,2,2003-10-01 00:00:00.000,0.0
470,2,2007-06-01 00:00:00.000,
227,2,2006-04-01 00:00:00.000,
172,0,,
130,1,2005-02-01 00:00:00.000,
170,2,2004-08-01 00:00:00.000,0.0
27,1,2008-09-01 00:00:00.000,0.0
100,1,2008-08-01 00:00:00.000,
245,2,,
147,1,2004-11-01 00:00:00.000,0.0
265,2,2004-09-01 00:00:00.000,0.0
260,1,2006-01-01 00:00:00.000,
269,1,2004-07-01 00:00:00.000,1.0
22,0,,
500,1,2006-11-01 00:00:00.000,
14,1,2004-04-01 00:00:00.000,
11,0,,
432,0,,
171,1,2006-12-01 00:00:00.000,0.0
313,1,,
524,2,2008-07-01 00:00:00.000,1.0
239,1,2004-10-01 00:00:00.000,1.0
395,1,2004-12-01 00:00:00.000,
440,2,2004-07-01 00:00:00.000,
10,1,,
449,0,,
248,1,2004-04-01 00:00:00.000,
324,1,2008-07-01 00:00:00.000,1.0
396,1,2007-05-01 00:00:00.000,0.0
42,1,2006-05-01 00:00:00.000,
174,1,2006-07-01 00:00:00.000,
535,0,,
55,0,,
221,1,2004-05-01 00:00:00.000,
161,1,2005-11-01 00:00:00.000,
279,1,,
326,2,2004-06-01 00:00:00.000,0.0
232,2,2003-10-01 00:00:00.000,0.0
200,1,2005-06-01 00:00:00.000,
354,2,,
538,1,2008-10-01 00:00:00.000,
315,2,2004-07-01 00:00:00.000,
94,2,2006-12-01 00:00:00.000,
502,2,2007-10-01 00:00:00.000,1.0
345,1,2004-08-01 00:00:00.000,
18,1,2006-08-01 00:00:00.000,
369,0,,
425,0,,
209,1,2005-07-01 00:00:00.000,
467,1,1990-08-01 00:00:00.000,
501,2,2004-02-01 00:00:00.000,
230,2,2004-05-01 00:00:00.000,
69,1,,
321,2,2006-03-01 00:00:00.000,1.0
29,1,2009-02-01 00:00:00.000,
494,1,2008-05-01 00:00:00.000,
167,2,2003-11-01 00:00:00.000,0.0
183,2,2007-11-01 00:00:00.000,
119,1,,
392,0,,
91,2,,
471,1,2003-11-01 00:00:00.000,
431,1,2004-05-01 00:00:00.000,
541,1,2010-11-01 00:00:00.000,0.0
389,2,2004-03-01 00:00:00.000,
6,2,2003-06-01 00:00:00.000,0.0
276,0,,
414,1,,
377,2,2007-11-01 00:00:00.000,1.0
372,1,2008-02-01 00:00:00.000,
417,1,2005-09-01 00:00:00.000,1.0
290,2,,
335,0,2005-01-01 00:00:00.000,
25,1,2005-05-01 00:00:00.000,0.0
463,2,2000-02-01 00:00:00.000,
229,2,2004-04-01 00:00:00.000,0.0
112,2,2003-10-01 00:00:00.000,0.0
496,1,,
370,0,,
459,0,,
491,1,2004-01-01 00:00:00.000,1.0
540,1,2005-10-01 00:00:00.000,0.0
289,1,2006-08-01 00:00:00.000,1.0
237,1,2003-05-01 00:00:00.000,0.0
184,2,,
483,2,,
283,0,,
201,1,2004-07-01 00:00:00.000,
224,1,,
434,2,2006-07-01 00:00:00.000,0.0
197,1,2008-04-01 00:00:00.000,
474,2,2001-08-01 00:00:00.000,
394,2,2004-03-01 00:00:00.000,0.0
517,2,2002-09-01 00:00:00.000,
169,1,2005-03-01 00:00:00.000,
322,2,2005-10-01 00:00:00.000,1.0
350,2,2006-12-01 00:00:00.000,
258,1,,
212,2,2002-11-01 00:00:00.000,
480,2,,
4,2,2004-01-01 00:00:00.000,0.0
472,0,,
514,1,,
13,1,2008-01-01 00:00:00.000,
532,0,,
241,2,2004-02-01 00:00:00.000,
194,0,,
256,2,2006-10-01 00:00:00.000,0.0
273,0,,
462,1,,
75,1,2005-07-01 00:00:00.000,0.0
34,0,,
153,1,2005-05-01 00:00:00.000,
117,2,2006-11-01 00:00:00.000,
233,2,2006-08-01 00:00:00.000,
79,2,2007-10-01 00:00:00.000,0.0
286,1,2005-09-01 00:00:00.000,1.0
107,0,,
92,1,2005-08-01 00:00:00.000,
16,2,2007-04-01 00:00:00.000,
285,2,,
166,1,2006-05-01 00:00:00.000,
495,1,2006-07-01 00:00:00.000,
33,1,,
46,2,,
205,0,,
481,1,2005-11-01 00:00:00.000,
461,1,,
110,2,2009-09-01 00:00:00.000,0.0
159,1,2005-03-01 00:00:00.000,
456,0,2007-11-01 00:00:00.000,
274,1,2007-11-01 00:00:00.000,0.0
83,2,2007-06-01 00:00:00.000,0.0
236,1,2009-08-01 00:00:00.000,
316,2,,
360,1,2005-04-01 00:00:00.000,
1,1,2001-01-01 00:00:00.000,
504,2,2026-04-01 00:00:00.000,
408,0,,
132,0,,
497,2,2002-11-01 00:00:00.000,
346,0,,
487,1,2008-07-01 00:00:00.000,0.0
113,1,2005-09-01 00:00:00.000,1.0
452,2,2007-10-01 00:00:00.000,0.0
368,1,,
44,2,2004-06-01 00:00:00.000,0.0
537,0,,
118,0,,
133,0,,
73,0,,
148,0,,
189,0,2004-12-01 00:00:00.000,
140,0,,
330,0,,
134,2,2004-06-01 00:00:00.000,0.0
111,0,2008-12-01 00:00:00.000,
407,1,2005-06-01 00:00:00.000,0.0
358,2,2005-06-01 00:00:00.000,1.0
498,2,2001-08-01 00:00:00.000,
192,2,,
320,1,2004-02-01 00:00:00.000,0.0
70,1,2008-10-01 00:00:00.000,
24,2,2008-03-01 00:00:00.000,0.0
270,1,2003-11-01 00:00:00.000,
488,2,2006-06-01 00:00:00.000,0.0
516,1,,
211,1,2005-06-01 00:00:00.000,
323,2,,
40,1,,
365,2,2004-04-01 00:00:00.000,0.0
127,1,2010-10-01 00:00:00.000,
411,0,,
180,2,2005-08-01 00:00:00.000,
254,2,2003-10-01 00:00:00.000,0.0
84,2,,
215,1,,
109,1,2004-04-01 00:00:00.000,0.0
235,2,2007-11-01 00:00:00.000,
380,0,,
450,2,2003-06-01 00:00:00.000,
