question_id,user_id,is_correct
1525,488,1
1574,355,1
1030,123,1
1131,116,0
773,12,0
1225,284,1
645,237,1
233,339,0
1447,379,1
82,47,0
1661,263,1
298,262,1
1098,56,0
75,73,1
57,419,0
719,6,0
1631,97,0
18,473,1
1327,281,1
1434,361,1
1471,395,0
733,333,1
1103,225,1
1741,346,1
1085,157,1
1596,17,0
938,211,1
970,130,1
504,221,0
1546,118,1
918,100,1
1146,135,0
1194,257,0
979,135,0
313,172,1
1576,406,0
1018,27,0
1544,212,1
549,191,1
716,262,1
727,42,0
1460,153,1
1362,346,1
1757,443,0
1200,154,0
508,143,1
259,395,0
293,275,0
210,419,1
1408,204,1
1166,189,1
1465,164,1
1714,131,0
1482,77,1
905,268,1
1551,472,1
157,297,1
1196,258,0
321,186,1
218,396,1
774,42,0
1237,38,1
1476,120,0
1698,151,0
236,382,0
314,185,1
916,330,1
1195,211,0
1480,119,1
1773,186,1
463,154,1
533,186,0
1365,81,0
1384,115,1
910,70,0
1729,334,1
1282,304,0
488,88,0
442,490,0
1460,263,1
711,203,0
712,221,0
984,346,0
581,274,1
607,390,1
122,13,0
527,274,0
374,23,1
1290,96,1
164,464,0
1375,246,1
330,57,1
148,113,0
1614,175,1
1614,114,1
636,226,0
1733,126,1
351,150,1
860,239,1
332,4,0
682,425,1
1770,186,0
225,23,1
1065,223,0
445,355,1
921,61,0
425,309,0
1465,346,1
592,144,0
1395,39,1
1167,459,1
1680,237,1
29,57,1
1773,227,0
523,104,1
1471,113,1
71,541,0
1092,101,0
795,299,1
1596,127,1
0,415,1
169,356,1
878,50,0
914,118,0
1659,214,0
989,301,0
972,134,0
534,139,0
860,318,1
1008,15,1
1618,181,1
504,281,1
429,301,0
655,442,0
1248,123,1
542,113,0
368,210,1
112,459,1
1751,258,0
1077,210,1
611,163,1
764,255,1
634,464,1
785,110,0
727,2,1
115,367,0
1301,470,1
487,356,1
767,23,1
500,257,1
125,230,1
1025,61,1
565,358,1
840,59,1
734,290,0
1513,438,1
750,132,1
524,287,0
285,11,0
658,48,1
613,143,1
446,240,1
1177,394,1
919,415,1
439,83,1
511,293,1
1102,382,0
991,214,1
991,239,1
259,299,1
1012,353,1
1157,328,1
116,54,1
97,187,0
1245,186,0
857,266,1
922,64,0
1317,213,0
330,214,1
556,4,1
1069,300,1
144,429,0
1301,97,0
1596,293,0
272,258,0
430,150,1
621,40,0
329,382,0
839,479,1
722,299,0
589,283,1
1078,280,1
174,300,1
1655,236,0
927,382,1
1181,305,1
1668,175,0
947,115,0
582,255,1
879,225,1
1318,283,1
932,382,1
668,119,1
1406,279,1
1293,136,1
0,324,1
1259,515,0
859,154,1
1619,128,0
373,127,1
1615,44,1
677,348,1
860,124,1
1427,163,1
325,221,0
1444,134,1
1250,218,0
1022,339,0
712,425,1
213,240,1
1419,269,1
473,150,0
310,116,1
1207,68,1
951,163,1
380,255,1
1094,41,0
145,218,1
606,38,1
1416,436,1
245,57,1
934,106,1
815,362,0
118,208,0
111,344,0
499,150,1
57,318,0
543,257,0
1720,157,1
1369,89,0
207,480,1
28,39,1
285,242,0
958,221,0
1371,258,1
380,17,0
363,293,1
137,141,1
848,251,1
1020,55,0
1381,97,1
1218,440,0
908,41,0
973,242,1
987,353,0
103,234,1
420,318,0
1524,394,1
709,226,0
942,383,0
204,213,1
825,151,1
651,251,1
1549,254,1
944,237,1
1183,493,0
680,367,0
373,147,1
174,333,1
217,345,1
1429,153,0
720,262,0
1207,263,1
842,5,1
1532,223,0
34,274,1
1339,54,0
600,134,1
72,57,1
1119,185,1
1183,447,0
397,79,1
420,219,0
1283,177,1
765,244,0
57,237,1
497,113,1
535,300,1
383,354,1
1494,56,1
114,353,0
1515,225,1
110,379,0
1686,354,1
1146,284,0
1480,64,0
980,186,0
330,143,0
718,24,1
1397,102,0
447,243,1
1107,155,1
841,275,0
1047,225,1
637,49,1
1161,274,1
589,239,0
1228,115,0
1212,301,1
1337,0,1
1740,6,1
7,361,1
271,38,1
805,224,0
499,56,1
917,151,1
960,22,1
1580,50,0
1485,314,1
224,212,0
1518,287,1
968,26,1
126,9,1
766,52,1
995,228,0
1108,491,1
342,266,1
1469,258,1
1567,319,1
312,218,1
1729,439,1
605,386,0
1741,496,0
353,246,1
827,42,1
921,185,0
1267,81,0
694,57,0
1049,248,0
1547,100,1
791,142,1
957,47,0
294,213,0
1516,6,1
1405,336,1
926,404,1
696,212,1
1528,120,1
1440,296,1
45,49,0
807,41,1
1071,115,1
178,42,0
389,472,1
794,231,1
1206,82,0
712,402,0
594,489,0
824,268,0
435,151,1
1250,101,1
1554,180,1
428,248,0
1146,253,1
123,87,1
1564,2,1
854,163,1
1303,297,1
251,42,0
1022,42,0
778,151,1
656,56,0
992,430,1
110,337,0
1424,241,0
1469,101,1
1284,256,0
1391,334,1
191,62,0
1352,163,1
1649,31,0
87,172,0
28,251,0
900,57,1
517,373,0
1736,186,0
1110,134,1
478,166,0
321,301,0
1601,41,1
286,268,1
1623,239,0
872,164,0
502,20,1
1580,0,1
1430,215,1
650,131,1
1390,163,0
473,218,0
1618,136,0
957,163,1
142,287,0
946,268,1
740,404,0
68,144,1
85,28,1
868,295,0
190,54,1
1270,0,1
382,290,1
370,0,0
1522,275,1
836,237,1
1146,364,1
1162,291,1
1163,36,1
499,376,0
1666,47,0
1259,69,1
655,448,1
908,2,1
560,185,1
1380,197,1
505,32,0
338,206,1
1300,218,1
594,168,1
1658,336,1
480,301,1
1022,128,0
490,193,0
980,283,1
448,455,1
727,118,1
46,260,0
1735,157,1
880,354,0
479,49,0
1096,429,1
1661,144,0
1027,163,0
1050,158,1
1206,3,1
888,274,1
1278,415,1
892,218,0
731,75,0
948,65,1
1342,65,1
1723,174,0
814,310,0
897,41,1
1709,2,1
985,122,0
580,268,0
193,338,1
629,192,1
172,218,0
1724,60,1
226,98,0
513,255,1
1353,180,1
71,411,1
475,368,1
661,382,1
523,52,0
503,321,0
585,300,1
1128,507,1
864,66,1
1741,95,1
1555,44,1
562,106,1
1348,263,1
443,134,1
1233,339,1
349,425,1
608,255,1
917,345,1
1534,345,1
1362,155,1
1401,346,1
670,290,0
587,276,1
838,6,0
922,210,0
1422,311,1
1636,100,1
622,240,1
149,231,1
466,284,0
1764,284,0
394,291,0
484,268,0
387,263,1
213,319,1
175,214,1
1133,225,0
1304,281,0
627,157,1
1623,235,1
860,32,0
114,3,1
1038,255,1
1341,151,1
133,174,1
1594,250,0
1730,284,1
957,94,1
752,367,1
753,151,0
373,59,1
788,262,1
425,268,1
69,381,1
1431,238,0
395,159,1
712,120,1
159,185,0
340,446,0
198,345,1
200,173,0
1084,501,1
776,36,0
226,115,0
215,290,0
1437,49,1
1289,311,1
1213,231,1
1095,113,1
1008,460,0
547,129,1
1197,373,0
1598,207,0
905,66,1
549,231,1
717,379,1
415,236,0
462,269,1
1722,346,1
106,256,1
980,478,0
1719,301,1
1764,221,0
130,39,0
119,187,0
605,65,1
850,217,0
497,68,1
1764,373,0
1624,398,0
1598,299,0
1403,186,0
1597,408,1
423,106,1
87,173,0
679,307,0
121,224,0
929,284,0
97,201,0
93,144,1
146,170,0
920,304,1
977,257,0
994,104,1
1062,104,0
1254,242,1
697,281,0
604,50,1
725,523,0
1176,143,1
1712,163,1
327,227,0
1497,450,1
1193,153,1
1716,57,1
1385,307,1
1205,114,1
1730,129,0
928,111,0
1550,256,0
1270,231,1
230,203,0
36,354,0
492,248,0
1061,211,0
694,379,0
558,138,1
85,21,0
68,262,1
1032,299,0
738,251,1
1410,31,0
578,416,0
357,450,0
1506,131,1
119,242,0
840,131,1
1104,485,0
1571,27,0
566,214,0
204,363,0
1758,503,0
1575,208,0
913,180,1
1189,404,0
1416,157,1
